"Longitude" "Latitude" "dt" "Magnitude" "lambda" "type"
-121.106619632430 41.6479479104746 811.903964604717 1.97854706263170 0.000162606202606719 2
-123.333240925265 38.8434470512439 812.591462816577 4.48293977561407 0.00126604829417999 2
-113.901833700808 32.7877462452743 813.007149524288 1.37202433455968 0.000117604486255662 2
-119.252913807705 38.9189942833036 819.078200375894 3.8242941556382 0.000501619207019612 2
-116.876173379947 32.7569809994893 821.229067087406 1.74769930959446 0.00154205882129214 2
-119.88422330576 42.1712120614247 821.354806243209 2.88399362917990 0.000367214079341018 2
-119.852120777266 36.1589872200275 822.120810696622 1.26112855717074 0.00345013233038495 2
-119.71981336358 37.3834709828952 824.461146848509 3.95820699515752 0.00328812615414519 2
-122.849619611143 37.8120520693483 826.018022115575 4.89415715765208 0.000335412866649328 2
-122.077506682486 38.8055891137337 827.076191527536 0.99513809394557 0.000726027766602067 2
-113.791195423692 33.5310506244423 828.335569591494 4.18251849829685 3.26412522889705e-05 2
-115.054665245488 34.8001296437578 829.155564709567 1.54965338642942 6.66025477960478e-05 2
-114.112901876075 33.0724760940066 829.808625790058 4.5527076006867 7.44028382088776e-05 2
-116.518593786028 35.0764331333339 829.823441426503 3.17452064553509 0.00226208628577479 2
-123.587365828967 37.4847187739797 830.094908479135 2.30651221558219 3.06611768004719e-05 2
-120.303135024221 35.3945852675242 830.697252028622 3.50534522723174 0.00135005149826941 2
-122.887456718227 37.4595268776175 834.917107299902 0.670111078221817 0.000119404554709354 2
-124.474389216676 41.8500134589849 834.964178541442 2.11300437056925 0.000377414468784714 2
-119.476134930854 37.8089055034798 835.038516750792 4.40360918305814 0.00086403295956561 2
-119.129254393699 36.2566411467269 836.091130193556 4.09434129518922 0.000304211676560432 2
-122.546854999429 38.2126865051687 837.591905874666 3.72666421072790 0.0019260734739777 2
-120.745219638012 37.1951231592102 837.725105613936 2.43533155045006 0.000606023189035297 2
-120.801842344506 40.8914143232396 839.042371794581 3.39473994963337 0.000438616803296391 2
-122.747350326343 36.4589337998768 840.212437717011 2.89968718257733 0.000138605287451395 2
-119.050822673226 33.2299776893342 840.951356292935 3.26649380953750 0.00135605172748256 2
-117.155890703341 34.8399697438581 841.913750876207 4.17740182355046 0.00178206798256766 2
-117.015192669793 34.8938672082732 842.864084168803 2.12547754123807 0.00238809109813614 2
-121.928914010664 42.675261815195 849.755357662216 0.934714038390666 5.71821884830324e-05 2
-115.862002108432 36.4485700950027 856.688623425784 3.42633313934784 0.000792030213199807 2
-119.874538822006 38.2128127089236 859.983336376492 2.39127389498753 0.000314412065968247 2
-117.938132259389 37.6679032270331 866.59253193764 3.92228428580565 0.00124804760879059 2
-116.735987448413 32.3761727467645 867.586331128143 3.65033336175838 0.00169806477682984 2
-121.9250807459 35.3561091795564 872.757791123353 1.21950774821453 6.1202341847865e-05 2
